type,input,output,A,B,C,D,E
nurse,국소적 온요법을 올바르게 적용한 것은?,Choice 1,요통,감각장애,악성종양,염좌 직후,개방성 상처
pharm,「약사법」상 식품의약품안전처장이 의약품특허목록에 등재하는 특허권의 대상에 해당하지 않는 것은?,Choice 4,물질,제형,조성물,제조방법,의약적 용도
doctor,"11세 남아가 건강검진 중 간기능이상이 발견되어 병원에 왔다. 최근 감염의 병력은 없었고
간질환의 과거력도 없었다. 17세 형이 2년 전부터 손을 떨고 발음이 부정확하며, 보행 장애를
보였다. 신체비만지수(body mass index) 는 정상이었다. 혈액검사 결과는 다음과 같다. 진단은?
아스파르테이트 아미노전달효소 87 U/L, 알라닌 아미노전달효소 112 U/L,
anti-HBs (+), anti-HCV(-),
포도당 98 mg/dL,  암모니아 50 μg/dL (참고치, 10~80),
크레아틴키나아제 110 U/L (참고치, 40~300),
세룰로플라스민 9 mg/dL (참고치, 20~46) ",Choice 1,윌슨병,갈락토오스혈증,글리코겐축적병,진행근육디스트로피,보통염색체 우성 뭇주머니콩팥병(ADPKD)
doctor,"생후 5주된 남아가 토해서 병원에 왔다. 1주일 전부터 수유할 때마다 뿜는 듯한 구토 증상이 있었으며, 구토물은 먹었던 우유로 쓸개즙이 섞이지 않았다. 토한 후에도 아이는 계속 먹으려고 했으며 탈수가 심했다. 오른쪽 윗배에 대추 모양의 덩이가 만져졌다. 병터의 위치는?",Choice 2,식도위경계부,위날문,이자,샘창자,돌창자
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 하루 여러 번 복용하는 약물은 환자의 복약순응도가 낮다. 이러한 경우, 약물을 서서히 방출시켜 1일 1회 복용으로 약효를 지속하는 경구용 제제 A를 개발하여 환자의 복약순응도를 높이고자 한다. 제제 A의 제조에 적합한 친수성 매트릭스 기제는?",Choice 5,쉘락(shellac),폴리락트산(polylactic acid),크로스포비돈(crospovidone),카르나우바납(carnauba wax),히드록시프로필셀룰로오스(hydroxypropylcellulose)
dentist,구강점막에 생긴 백반증에 관한 설명으로 옳은 것은?,Choice 5,표면을 문질렀을 때 잘 제거된다.,생검으로 명확히 구별이 가능하다.,점막을 신장시켰을 때 백색이 사라진다.,유극세포층 세포 내에 액체와 당원의 축적을 보인다.,각질층이나 유극세포층 두께 증가로 백색으로 관찰된다.
doctor,"25세 여자가 식사 도중 두드러기가 생기고 의식을 잃어 응급실로 실려 왔다. 5년 전 땅콩 아나필락시스를 진단받은 후부터 땅콩과 같은 견과류는 먹지 않는다고 하였다. 혈압 70/30 mmHg, 맥박 120회/분, 호흡 28회/분이었다. 치료 후 의식은 회복되었다. 재발을 막기 위해 필요한 조치는?",Choice 5,항히스타민제 복용,류코트리엔조절제 복용,글루코코르티코이드 복용,항면역글로불린E 항체 주사,에피네프린 자가주사 사용법 교육 및 소지
dentist,"다음은 유치 근관의 해부학적구조에 대한 설명이다. 해당되는 치아는?
일반적으로 2개의 치근을 가짐
근심치근은 대부분 근관이 2개임
원심치근은 근관이 1개 또는 2개임
치근의 형태에 상응하는 3개의 근관을 가지는 경우가 많으나 2개 혹은 4개인 경우도 있음",Choice 2,하악 유절치,하악 제1유구치,상악 유견치,상악 제1유구치,상악 제2유구치
doctor,"가습기 살균제는 1994년 국내에서 처음 판매되었고, 2011년 유해성을 확인하기까지 계속 사용되어 많은 피해자가 발생하였다. 이 사건의 원인을 규명하게 된 첫 번째 과정은?",Choice 3,동물실험,메타분석,역학연구,질병감시체계,세포독성실험
doctor,"40세 남자가 3일 전 흑색변을 봤다고 병원에 왔다. 공복에 속이 쓰려 새벽에 깨기도 하였지만 식후에는 속쓰림이 없었다고 하였다. 명치부위 압통이 있었지만 복부에 덩이는 만져지지 않았다. 혈압 120/80 mmHg, 맥박 72회/분, 호흡 18회/분, 체온 36.3℃였다. 코위관 삽입 후 세척에서 혈액은 관찰되지 않았다. 혈액검사 결과는 다음과 같았다. 검사는?백혈구 5,900/mm^3, 혈색소 12.1 g/dL, 혈소판 210,000/mm^3 평균적혈구용적 88 fL (참고치, 79~93.3) ",Choice 2,복부 초음파,식도위내시경,위배출시간측정,이자샘창자동맥조영술,99m테크네튬적혈구스캔(99mtechnetium- labeled red cell scan)
doctor,"76세 남자가 만성폐쇄폐질환의 악화, 폐렴 등으로 여러 번 입원 치료를 받았다. 현재 호흡곤란이 심하고 집에서 산소치료를 받고 있다. 외래에서 시행한 정기검사에서 가슴막 가까이에 3 cm 크기의 폐종양이 발견되었다. 담당의사는 조직검사의 필요성과 검사에서 발생할 수 있는 위험을 환자에게 설명하였다. 환자는 자신의 병과 검사에 대해 의사가 더 잘 알테니 알아서 향후 치료를 결정해 달라고 한다. 고려해야 할 의료윤리 원칙은?",Choice 5,정의와 연민,선행과 해악금지,해악금지와 정의,연민과 자율성존중,자율성존중과 선행
nurse,32세 여자가 자궁내막증을 진단받았다. 치료를 하지 않을 경우 자신에게 일어날 문제에 대해 질문하였을 때 간호사의 설명으로 옳은 것은?,Choice 1,난임이 초래될 수 있다.,월경량이 적어질 것이다.,폐경증상이 나타날 것이다.,질에 염증이 잦아질 것이다.,질이 위축될 수 있다.
dentist,"다음 상황에 관한 진단은?
10세 어린이 상악 중절치 치관의 노란색 변색
2년 전 외상병력
타진반응 음성
전기치수검사 반응 없음
방사선영상에서 근관이 좁아져 있고 치근단 병소는 없음",Choice 4,치수괴사,치근천공,치수충혈,석회화변성,치근외흡수
dentist,금 인레이/온레이 와동의 교두피개에 관한 설명으로 옳은 것은?,Choice 4,충분한 두께로 40° 이상의 역사면을 형성한다.,교두삭제부위와 중심구측 와동을 step 없이 연결한다.,교두피개를 위한 삭제는 와동형성의 최종단계에서 진행한다.,상악 소구치는 심미성을 위해 협측 변연에 역사면을 주지 않는다.,와동의 외형이 중심구와 교두정 사이 거리의 1/3을 넘으면 피개한다.
doctor,47세 여자가 갑상샘 가는바늘흡인세포검사에서 유두갑상샘암종으로 진단받고 병원에 왔다. 초음파검사에서 오른쪽 엽에 국한된 2.5 cm 크기의 덩이와 커져있는 중앙목림프절이 관찰되었다. 치료는?,Choice 5,고주파절제술,오른갑상샘절제술,오른갑상샘절제술과 방사선치료,전체갑상샘절제술과 항암화학요법,전체갑상샘절제술과 중앙목림프절절제술
doctor,"55세 여자가 2일 전부터 열이 난다며 병원에 왔다. 며칠 전부터 평소보다 소변을 자주 본다고 한다. 1개월 전에도 비슷한 증상이 있었다고 한다. 혈압 130/80 mmHg, 맥박 105회/분, 호흡 18회/분, 체온 38.5℃이다. 왼쪽 갈비척추각에 압통이 있다. 소변검사 결과는 다음과 같다. 가능성이 높은 원인미생물은?백혈구 10～20/고배율시야, 적혈구 0～5/고배율시야",Choice 1,대장균(Escherichia coli ),창자알균(Enterococcus faecalis),프로테우스미라빌리스(Proteus mirabilis),우레아플라스마우레알리티쿰(Ureaplasma urealyticum ),스타필로코쿠스사프로피티쿠스(Staphylococcus saprophyticus)
pharm,주사제의 무균 충전과 미생물 시험을 수행하는 지역의 청정도 등급은?,Choice 1,A등급,B등급,C등급,D등급,관리대상 외
doctor,"임신 40주인 28세 다분만부가 3,500 g 남아를 질분만한 후 출혈이 계속되었다. 혈압 90/60 mmHg, 맥박 95회/분, 호흡 25회/분, 체온 36.8℃였다. 골반진찰에서 자궁은 단단하게 만져졌고, 자궁목의 3시와 9시 방향에서 3 cm의 열상이 보였다. 처치는?",Choice 1,자궁목열상봉합,자궁목원형결찰술,자궁동맥색전술,자궁목절제술,자궁절제술
doctor,"임신 9주인 28세 여자가 산전검사에서 갑상샘기능이상이 발견되어 왔다. 2주 전부터 심한 구토가 있었고, 몸무게가 2 kg 줄었다. 키 160 cm, 몸무게 48 kg, 혈압 120/60 mmHg, 맥박 120회/분이었다. 신체진찰에서 갑상샘은 커져 있지 않았다. 혈액검사 결과는 다음과 같았다. 검사는?T3 325 ng/dL (참고치, 77 ~ 135) 유리 T4 3.10 ng/dL (참고치, 0.8 ~ 1.7) 갑상샘자극호르몬 <0.01 mIU/L (참고치, 0.1 ~ 2.5) ",Choice 5,갑상샘초음파,방사성요오드섭취율,혈청 갑상샘과산화효소항체,혈청 사람융모생식샘자극호르몬,혈청 갑상샘자극호르몬수용체항체
doctor,"15세 여자가 5시간 전 성폭행을 당하여 병원에 왔다. 성병 예방을 위해 투여해야 할 약제에
해당하는 것은?",Choice 4,아사이클로비어(acyclovir),포도필린(podophyllin),플루코나졸(fluconazole),세프트리악손(ceftriaxone),벤자틴페니실린(benzathine penicillin)
nurse,"75세 여자가 최근 기억력 장애, 배회행동, 심한 분노 표현, 수면장애 등으로 입원하였다. 이 환자와의 의사소통방법으로 옳은 것은?",Choice 2,높은 톤으로 또박또박 말한다.,간단한 문장을 사용하여 말한다.,추상적인 단어를 사용하여 말한다.,개방형 질문을 하면서 대화를 촉진한다.,의사결정을 요구하는 질문을 하면서 대화한다.
pharm,"59세 남자가 밤 9시에 텔레비전을 시청하던 중 오른쪽 팔다리에 힘도 없고 감각이 떨어지면서 주저앉았다. 병원에는 밤 10시 30분경에 도착하여 밤 11시에 급성허혈성뇌졸중을 진단받았다. 적절한 약물은?[병력] 고혈압, 이상지질혈증[복용약물] 암로디핀(amlodipine) 10 mg 1일 1회 로수바스타틴(rosuvastatin) 20 mg 1일 1회 [임상검사(응급실 도착 시) ] 혈압 170/100 mmHg, SCr 0.8 mg/dL,  혈당 90 mg/dL,  TC 205 mg/dL,  LDL-C 117 mg/dL,  혈소판 300,000/mm^3 ",Choice 4,아스피린(aspirin),아픽사반(apixaban),압식시맙(abciximab),알테플라제(alteplase),에녹사파린(enoxaparin)
pharm,"질산은 점안액에 들어 있는 질산은(AgNO3) 함량을 폴하르트(Volhard) 법으로 분석할 때, 0.1 mol/L NH4SCN 100 mL에 대응하는 질산은의 mol 수는?",Choice 1,0.01,0.05,0.1,0.5,1.0
doctor,"42세 여자가 유방암검진을 받았다. 과거 모유수유를 하였다. 유방 진찰에서 덩이는 없었고 겨드랑림프절도 만져지지 않았다. 유방촬영 결과는 유방영상 보고자료(breast imaging reporting and data system, BI-RADS) 범주 1이었다. 향후 시행할 검사는?",Choice 2,3개월 뒤 유방촬영,2년 뒤 유방촬영,3개월 뒤 유방초음파,2년 뒤 유방초음파,유방 자기공명영상 촬영
dentist,임플란트 보철 수복 1년 후 실패로 판단되어 매식체를 제거해야하는 경우는?,Choice 2,탐침시출혈,매식체 동요,골소실 1mm,탐침깊이 4mm,지대주 나사풀림
doctor,"65세 여자가 심한 두통으로 병원에 왔다. 10년 전부터 혈압강하제를 복용해 왔으며 6개월 전부터 다른 약을 추가했지만 혈압 조절이 안 되었다. 혈압 180/100 mmHg , 맥박 72회/분이었다. 명치 부위와 왼쪽 갈비척추각에서 수축기 잡음이 청진되었다. 검사 결과는 다음과 같았다. 검사는?혈액: 혈액요소질소/크레아티닌 32/1.5 mg/dL,  Na + /K+ 142/2.9 meq/L  소변: 잠혈 (- ), 단백질 (2+ ), 적혈구 10~20/고배율시야",Choice 4,콩팥 초음파검사,정맥깔때기조영술,복부 컴퓨터단층촬영,컴퓨터단층콩팥동맥조영술,혈장 알도스테론/레닌활성 비
doctor,"26세 여자가 5개월 전부터 무기력하고 우울하다며 병원에 왔다. 지난 3년 동안 공무원 시험 공부를 했으나 계속 떨어지고, 5개월 전에 남자친구와 헤어진 후 항상 비관적인 생각만 든다고 한다. 자신은 가치가 없는 인간이며, 세상의 그 누구도 자기를 좋아해 주지 않을 것이며, 앞으로도 어떤 희망도 없을 것이라고 한다. 치료는?",Choice 4,이완훈련,작업치료,사회기술훈련,인지행동치료,안구운동탈민감재처리
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 33세 남자가 10년 전에 조현병을 진단받고 리스페리돈(risperidone) 경구제와 아리피프라졸(aripiprazole) 경구제를 순차적으로 복용하였으나 증상이 개선되지 않았다. 환자는 아리피프라졸 경구제에 대한 복약이행도가 낮은 것으로 확인되었고, 아리피프라졸(aripiprazole monohydrate) 장기지속형 주사제로 변경하여 투여할 예정이다.[약물 알레르기]  없음[현재 복용약물]  아리피프라졸 30 mg 1일 1회 경구투여. 아리피프라졸 경구제를 아리피프라졸 장기지속형 주사제로 변경하는 방법으로 적절한 것은?",Choice 4,경구제를 중단한 다음 날부터 주사제 단독 사용,경구제를 중단하고 2주 후 주사제 단독 사용,경구제를 중단하고 6주 후 주사제 단독 사용,경구제와 주사제를 2주 동안 병용한 후 주사제 단독 사용,경구제와 주사제를 6주 동안 병용한 후 주사제 단독 사용
nurse,"""아니"" 또는 ""안 해""라는 말을 자주 하는 18개월 아동의 부모에게 교육할 내용은?",Choice 1,아동에게 선택형으로 질문하게 한다.,아동이 날마다 새로운 일을 경험하게 한다.,잘못된 행동이라고 단호하게 훈육하게 한다.,아동을 달래 주기 위한 말을 계속하게 한다.,아동이 긍정적으로 말할 때까지 기다리게 한다.
pharm,「국민건강보험법」상 보험급여를 받을 수 있는 사람이 보험급여를 제한받는 경우가 아닌 것은?,Choice 1,경미한 과실로 사고를 일으킨 경우,고의로 인한 범죄행위에 그 원인이 있는 경우,공무로 생긴 부상으로 다른 법령에 따른 보험급여를 받게 되는 경우,업무로 생긴 질병으로 다른 법령에 따른 보상(報償)을 받게 되는 경우,중대한 과실로 요양기관의 요양에 관한 지시에 따르지 아니한 경우
doctor,"55세 여자가 교통사고로 인한 작은창자 파열로 수술을 받았다. 창상감염으로 세팔로스포린을
계속 사용하였으며, 수술 후 7일 경부터 물설사, 발열(38.3℃), 복통이 생겼다. 복부에 압통이나
반동압통은 없었다. 검사 결과는 다음과 같다. 치료는?
대변 잠혈검사 : 양성
대장내시경 검사 : 직장 점막 부종과 회백색 플라크(plaque) 가 관찰됨",Choice 4,겐타마이신,암피실린,클린다마이신,메트로니다졸,시프로플록사신
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 55세 남자의 정기검사결과는 다음과 같고, 변비 이외에 별다른 임상소견은 없었다.[병력]  고혈압, 안정형 협심증, 알레르기 비염[복약이행도]  우수함[약물 알레르기]  특이사항 없음[활력징후]  혈압 142/87 mmHg, 심박수 63회/분 호흡수 19회/분[임상검사]  Na 141 mEq/L, K 4.2 mEq/L, SCr 1.1 mg/dL,  eGFR 58 mL/min/1.73 m^2 소변: 알부민 대 크레아티닌 비(ACR) 120 mg/g[복용약물] 아스피린(aspirin) 100 mg 1일 1회 프라바스타틴(pravastatin) 40 mg 1일 1회 베라파밀(verapamil) 서방정 240 mg 1일 1회 아스코르브산(ascorbic acid) 500 mg 1일 1회 니트로글리세린(nitroglycerin) 0.6 mg 설하정, 필요시 모메타손(mometasone) 비강분무제 1일 1회 비강 분무. 검사결과를 바탕으로 평가했을 때 추가가 필요한 약물은?",Choice 1,라미프릴(ramipril),독사조신(doxazosin),암로디핀(amlodipine),스피로노락톤(spironolactone),히드로클로로티아지드(hydrochlorothiazide)
pharmacy,"25°C에서 1차 반응에 따라 분해되는 약물의 분해 반응속도 상수는 1.05×10^-5 h^-1이다. 이 약물의 초기농도가 200 unit/mL 일 때 약물의 농도가 180 unit/mL가 될 때까지 걸리는 시간 (h)은? (단, ln(200/180)=0.105이다.)",Choice 3,100,"1,000","10,000","100,000","1,000,000"
doctor,"32세 남자가 2일 전부터 소주잔 반 잔 정도의 선홍색 혈변을 본다고 병원에 왔다. 복용 중인 약물은 없고 대장암 가족력도 없다. 혈압 110/70 mmHg, 맥박 66회/분, 호흡 16회/분, 체온 37.1°C이다. 혈액검사 결과는 다음과 같다. 검사는?
혈색소 13.2 g/dL, 백혈구 7,200/mm^3, 혈소판 179,000/mm^3",Choice 5,위내시경술,캡슐내시경술,복부 초음파검사,복부 컴퓨터단층촬영,직장구불결장내시경술
nurse,페플라우가 제시한 치료적 관계에서 초기 단계(오리엔테이션 단계) 에 해당하는 것은?,Choice 3,간호사의 자기탐색,대상자의 통찰력 증진,비밀보장에 대한 계약설정,대상자의 긍정적인 행동변화,대상자의 건설적인 대처기전 발달
pharm,단일 이온의 활성도계수와 용질의 평균이온활성도계수를 이론적으로 계산하는데 유용한 식은?,Choice 4,Stokes 식,Higuchi 식,Van Slyke 식,Debye- Hückel 식,Henderson- Hasselbalch 식
dentist,오른손잡이 술자가 보존 수복 시 구강 내 대부분에 접근할 수 있어 가장 많이 이용되는 술자의 위치는?,Choice 4,5시 방향,7시 방향,9시 방향,11시 방향,12시 방향
pharm,글리코겐 생성효소(glycogen synthase) 가 촉매하는 반응에서 포도당의 직접적인 제공자는?,Choice 5,"glucose 1,6- bisphosphate",glucose 1- phosphate,glucose 6- phosphate,UDP- galactose,UDP- glucose
pharm,지속적인 식도 역류와 궤양으로 식도벽 기저부까지 손상된 역류식도염에서 식도 내강이 좁아지게 되는 원인은?,Choice 5,미란(erosion),위축(atrophy),충혈(hyperemia),이형성(dysplasia),반응성섬유화(reactive fibrosis)
pharm,「지역보건법」상 보건소에서 약사(藥事)에 관련하여 수행하는 업무는?,Choice 4,의약품 제조업 허가,보험급여 비용의 지급,요양급여의 적정성 평가,약국개설자의 관리자 변경 명령,의약품 부작용의 인과관계 조사
pharm,「약사법」상 의약품을 판매하거나 판매할 목적으로 의약품을 취득할 수 없는 자는?,Choice 3,한약업사,의약품 도매상,한국의약품안전관리원,안전상비의약품 판매자,한국희귀 ∙ 필수의약품센터
nurse,출산 후 산모의 자궁 퇴축 정도를 사정할 때 중요한 지표가 되는 것은?,Choice 3,체중,후진통(산후통),자궁바닥(자궁저부) 높이,질의 추벽 상태,자궁경부 개대 정도
doctor,"37개월 남아가 또래보다 말이 느리다며 병원에 왔다. 임신나이 40주, 출생체중 3300 g, 질분만으로 정상 줄생하였다. 생후 8개월이 되어도 부모와 눈을 맞추지 않았고, 이후로도 혼자서만 놀며, 낯도 가리지 않았다고 한다. 15개월부터 혼자 걷기 시작 했지만 주로 발 앞쪽으로 서서 까치발로 걷는다고 한다. 진찰 할 때도 의사와 눈을 맞추지 많고, 불러도 대답없이 혼자 서 있다가 가끔 괴성을 지른다. 바퀴 달린 자동차 모형 장난감에만 집착 하고, 장난감을 주로 일렬로 늘어놓으며 논다. 진단은?",Choice 3,전환장애,학습장애,자폐스펙트럼장애,아동기발생유창성장애,주의력결핍과다활동장애
dentist,편측성 완전구순구개열 환자의 치조열 이차골이식술을 시행 하기에 가장 선호되는 시기는?,Choice 3,1세경,5세경,10세경,15세경,20세경
dentist,분진이나 가스 흡입으로 인하여 호흡기계에 유독한 발암 물질은?,Choice 2,Ag,Be,Cd,Cr,Fe
dentist,미성숙 영구치의 수복치료 시 고려사항으로 옳은 것은?,Choice 3,법랑질은 산부식에 저항성이 높다.,치아의 교합면 형태와 구조는 불명확하다.,와동형성 시 예방 확대 개념은 적용하지 않는다.,구치부 교합면 원심부는 치은판개로 덮여 있어 위생관리가 쉽다.,상아세관이 커서 자극에 민감하지 않으므로 국소마취 필요성이 낮다.
pharm,"76세 남자가 당뇨병, 고혈압, 이상지질혈증으로 다음과 같은 약물을 복용하고 있다. 최근 소변량이 증가하면서 가슴이 두근거리고, 혈압 감소, 심박수 증가 등의 탈수 증상이 나타났다. 이런 증상의 원인이 될 수 있는 약물은?[복용약물] 펠로디핀(felodipine) 5 mg 1일 1회 리시노프릴(lisinopril) 10 mg 1일 1회 메트포르민(metformin) 1,000 mg 1일 2회 다파글리플로진(dapagliflozin) 5 mg 1일 1회 아토르바스타틴(atorvastatin) 20 mg 1일 1회 ",Choice 4,펠로디핀,리시노프릴,메트포르민,다파글리플로진,아토르바스타틴
nurse,지역사회 현황을 사정하기 위하여 활용할 수 있는 간접 자료수집방법은?,Choice 4,지역 시찰,단체장 면담,전화설문조사,보건사업 보고서 검토,지역사회간호사의 관찰
nurse,외상으로 경추 3～4번 손상이 있는 환자에게 우선적인 중재가 필요한 사정 결과는?,Choice 3,하지마비,구음장애,호흡부전,인지장애,각막반사 저하
doctor,"72세 여자가 약속을 자주 잊고 물건 이름이 바로 떠오르지 않는다며 병원에 왔다. 증상은 3년 전부터 시작되었고 점점 심해졌다. 최근에는 집을 못 찾고 해매는 경우가 빈번했다. 유년기나 청년기의 과거기억은 비교적 잘 보존되었으나, 수일 전이나 수 시간 전 기억은 보존되지 않았다. 난폭한 행동은 없으며, 환청이나 환시도 없다. 신경학적 진찰에서 이상소견은 없다. 검사 결과는 다음과 같다. 치료는?간이정신상태검사: 16점신경심리검사: 인지기능 저하뇌 자기공명영상: 대뇌피질 및 해마 위축",Choice 1,메만틴,라모트리진,에스트로젠,아리피프라졸,콜린알포세레이트
doctor,"42세 남자가 3일 전부터 열이 나서 병원에 왔다. 소변이 계속 마려운 느낌은 있지만 잘 나오지 않고, 회음부에 통증이 있고, 소변을 볼 때 통증을 느낀다고 한다. 혈압 140/90 mmHg, 맥박 90회/분, 호흡 20회/분, 체온 38.8℃이다. 갈비척추각 압통은 없다. 검사 결과는 다음과 같다. 진단은?혈액: 혈색소 13.8g/dL, 백혈구 23,000/mm^3, 혈소판 200,000/mm^3 혈액요소질소 20 mg/dL,  크레아티닌 1.2 mg/dL, 소변: 단백질(+), 아질산염(+), 적혈구(+), 백혈구(3+) ",Choice 3,요도염,방광염,전립샘염,부고환염,깔때기콩팥염
doctor,「지역보건법」에 따라서 지역주민의 건강 상태 및 건강 문제의 원인 등을 파악하기 위하여 매년 시 ∙ 군 ∙ 구별로 시행하는 조사는?,Choice 5,국민영양조사,국민보건계정조사,한국의료패널조사,보건의료 실태조사,지역사회 건강실태조사
dentist,치주질환의 영상진단에 관한 설명으로 옳은 것은?,Choice 2,교익방사선영상은 심한 치조골 흡수의 평가에 유리하다.,치주질환의 평가에는 저대조도의 방사선영상이 유리하다.,파노라마방사선영상이 치근단방사선영상보다 선예도가 높다.,파노라마방사선영상에서 치주낭의 깊이를 확인할 수 있다.,치조정의 상태를 평가하려면 평행촬영술보다 등각촬영술이 유리하다.
pharm,"67세 남자의 뇌졸중 예방을 위한 적절한 약물(요법) 은? [병력] 고혈압, 심방세동 [복용약물] 암로디핀(amlodipine) 히드로클로로티아지드(hydrochlorothiazide) [임상검사 결과] CrCl 72 mL/min, INR 1.0",Choice 2,아스피린(aspirin),아픽사반(apixaban),티카그렐러(ticagrelor),아가트로반(argatroban),아스피린(aspirin) ＋실로스타졸(cilostazol)
nurse,렘(REM) 수면의 특징은?,Choice 2,뇌대사 감소,위액분비 증가,느린 안구운동,세포의 재생과 회복,성장호르몬 최대 분비
nurse,고농도 산소요법 중인 환자에게 인공호흡기를 적용해야 할 검사결과는?,Choice 4,pH 7.35,SaO2 95%,PaO2 80 mmHg,PaCO2 60 mmHg,HCO3- 22 mEq/L
nurse,"재태 기간 37주 2일로 출생한 신생아가 다음과 같은 호흡 양상을 보였다면 신생아의 상태는?• 호흡 40회/분, 맥박 124회/분• 호흡의 깊이와 리듬은 불규칙함• 10초간 호흡을 멈추는 현상이 보이기도 함• 횡격막과 복벽 근육을 사용하는 복식호흡을 함",Choice 1,정상호흡,미숙아무호흡,호흡곤란증후군,태변흡인증후군,기관지폐이형성증
dentist,아말감의 연화에 관한 설명으로 옳은 것은?,Choice 5,연화시간은 절삭형이 구상형보다 짧다.,연화시간은 아말감 혼합기의 진동속도와 무관하다.,연화가 불충분하면 수축량이 늘어난다.,연화가 불충분하면 경화시간이 짧아진다.,연화가 과도하면 와동에의 적합도가 떨어진다.
doctor,"종합병원의 신경과 전문의 A가 신체거동이 불편한 80세 남자 환자와 외래 진료실에서 나누는 대화이다. 현재 감염병은 유행하지 않는다. 「의료법」에 따라 밑줄 부분에 들어갈 A의 답변으로 옳은 것은?환자: 선생님, 제가 사는 곳이 산간 오지에 있는 마을이라서 병원까지 오는데만 2시간 이상 걸리는데다, 혼자 사는 처지라 누구 도와줄 사람도 없고… 너무 힘들어서 병원까지 오기가 힘이 듭니다.의사 A: 그래도 꾸준히 진료를 받으셔야 합니다.환자: 요즘 세상이 좋아져서 비대면으로 온갖 것들이 다 된다는데, 직접 안 만나고 집에서 선생님 진료를 받고 싶습니다. 꼭, 부탁합니다.의사 A:",Choice 4,“스마트폰 화상통화로 집에서 제가 진찰하면 되겠습니다.”,“집에 원격진료실을 갖추면 제가 원격으로 진료할 수 있습니다.”,“환자분 본인 여부만 확인되면 전화통화로 제가 진찰할 수 있습니다.”,“제가 원격으로 집에 계신 환자분을 직접 진찰하고 진료하는 것은 불법입니다.”,“집에 방문간호사가 오면 그 사람을 통해 제가 원격으로 진료할 수 있습니다.”
pharmacy,옥사페남(oxapenam)환을 가지며 베타락탐 분해효소를 비가역적으로 억제하는 약물은?,Choice 5,이미페넴(imipenem),세포탁심(cefotaxime),티카르실린 (ticarcillin),아목시실린(amoxicillin),클라불란산(clavulanic acid)
doctor,"군 지역에 소재한 'A' 병원의 병원장인 의사 '갑'은, 'A' 병원 소속 의사 '을'이 발열 및 구역, 구토 증상을 호소하는 60세 환자를 중증열성혈소판감소증후군(SFTS)으로 진단하였음을 보고받았다. 이때 「감염병의 예방 및 관리에 관한 법률」에 따라 의사 '갑'이 취하여야 할 조치는?",Choice 3,지체없이 의료기관 소재지 군수에게 감염병 발생신고,24시간 이내에 권역별 감염병전문병원장에게 감염병 발생신고,24시간 이내에 의료기관 소재지 관할 보건소장에게 감염병 발생신고,일주일 이내에 의료기관 소재지 관할 역학조사관에게 감염병 발생신고,일주일 이내에 환자의 주민등록주소지 관할 보건소장에게 감염병 발생신고
pharm,「마약류 관리에 관한 법률」상 마약류 중독자의 치료보호에 대한 설명으로 옳은 것은?,Choice 3,마약류 중독자의 치료보호 기간은 6개월 이내로 한다.,식품의약품안전처장은 치료보호기관을 지정할 수 있다.,시∙ 도지사는 치료보호를 하려면 치료보호심사위원회의 심의를 거쳐야 한다.,마약류관리자는 마약류 사용자에 대해서 치료보호기관에서 판별검사를 받게 할 수 있다.,마약류취급의료업자는 의료기관에서 마약 중독자에게 중독 증상을 치료하기 위하여 마약을 투약할 수 있다.
doctor,‘군’ 지역의 ‘A’ 내과의원에서 입원 환자에게 로라제팜(lorazepam) 0.5 mL 1 앰플을 수액과 혼합하여 정맥주사하려 준비하였으나 환자의 상태변화로 투여할 수 없게 되었다. 이를 보관하기 곤란하여 폐기하려 할 때 해야 할 조치는?,Choice 4,마약류 감시원에게 통보하고 폐기처분함,마약류도매업자에게 의료폐기물 처리를 위탁함,마약류도매업자에게 사고마약류 발생을 보고함,군수에게 사고마약류 등의 폐기 신청서를 제출함,폐기처분 후 식품의약품안전처장에게 전자문서로 보고함
pharm,Ceramide의 머리 부분에 1개의 단당류가 결합된 glycosphingolipid는?,Choice 1,cerebroside,ganglioside GM2,lecithin,plasmalogen,sphingomyelin
doctor,"자유기업형, 복지지향형 등과 같이 한 국가의 보건의료체계의 성격을 규정하는데 가장 중요한
것은?",Choice 2,조직화의 방식,정부의 개입 정도,의료자원의 개발 정도,의료서비스 제공 수준,관리방식의 다양화 정도
doctor,22세 산과력 0-0-0-0인 여자가 2개월에 한 번씩 월경을 한다고 병원에 왔다. 이러한 월경을 무엇이라 하는가?,Choice 1,희발월경(oligomenorrhea),빈발월경(polymenorrhea),불규칙월경(metrorrhagia),과소월경(hypomenorrhea),정상주기월경(normal menstrual interval)
dentist,구강점막질환 환자에게 스테로이드계 항염증제를 장기간 대량 투여한 경우 나타날 수 있는 부작용은?,Choice 3,저혈당,저혈압,골다공증,체중감소,점액수종
pharm,식품 중의 단백질 영양가를 평가하는 데에 이용되는 단백질가(protein score) 를 산출하기 위해 필요한 정보는?,Choice 5,단백질 효율,단백질 섭취량,체내 단백질 잔존량,달걀 중 제한 아미노산의 양,해당 식품 중 제한 아미노산의 양
